total_mass_guess_kg,stall_speed_mps,cruise_speed_mps,aspect_ratio,taper_ratio,cl_max,cl_cr_target,cd0,oswald,rho,n_rotors,rotor_diameter_m,hover_fom,vert_climb_mps,transition_power_multiplier,hover_time_takeoff_s,hover_time_landing_s,prop_efficiency,elec_efficiency,batt_specific_energy_wh_kg,batt_usable_fraction,batt_reserve_fraction,batt_voltage_V,outbound_distance_miles,return_distance_miles,attack_time_s,retries,structural_mass_fraction,payload_mass_kg,OUT_converged,OUT_total_mass_kg,OUT_weight_N,OUT_wing_area_m2,OUT_span_m,OUT_root_chord_m,OUT_tip_chord_m,OUT_mac_m,OUT_q_cruise_Pa,OUT_cl_cruise,OUT_cd_induced,OUT_cd_total,OUT_drag_N,OUT_power_cruise_W,OUT_rotor_total_area_m2,OUT_power_hover_W,OUT_power_climb_W,OUT_power_transition_W,OUT_e_takeoff_hover,OUT_e_takeoff_climb,OUT_e_transition_out,OUT_e_outbound,OUT_e_attack,OUT_e_return,OUT_e_transition_in,OUT_e_landing_hover,OUT_e_retries,OUT_total_mission_energy_Wh,OUT_required_nominal_batt_Wh,OUT_battery_mass_kg,OUT_battery_Ah,OUT_peak_power_W,OUT_peak_current_A,OUT_peak_c_rate,OUT_mtow_calc_kg,OUT_error
30.0,22.0,40,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,980.0000000000001,0.48400000000000004,0.01065228581398144,0.05565228581398144,33.83980932862549,2005.322034288918,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,156.87996346276176,16.71101695240765,156.87996346276176,18.362338205652005,21.602750830178827,0.0,418.9645388929858,626.0389661619328,2.8456316643724215,14.099976715358846,6165.660199242919,138.86622070366934,9.848684399060383,20.145631664372424,-0.3284789445209192
30.0,22.0,40,10,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.490917893352809,0.33212238578037456,0.16606119289018728,0.25831741116251355,980.0000000000001,0.48400000000000004,0.01065228581398144,0.05565228581398144,33.83980932862549,2005.322034288918,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,156.87996346276176,16.71101695240765,156.87996346276176,15.739147033416007,18.516643568724714,0.0,406.5172396051209,607.4395534329393,2.761088879240633,13.6810710232644,5424.9944564939315,122.18455983094441,8.93092065841716,20.061088879240636,-0.33129703735864546
30.0,22.0,40,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,980.0000000000001,0.48400000000000004,0.008876904844984533,0.05387690484498453,32.760274991485424,1941.3496291250622,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,151.87528670106178,16.177913576042183,151.87528670106178,27.54350730847801,32.404126245268245,0.0,451.9876295007477,675.3838141965196,3.069926428165998,15.21134716658828,8757.990298864379,197.25203375820675,12.967426987102812,20.369926428166,-0.3210024523944667
30.0,22.0,40,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,980.0000000000001,0.48400000000000004,0.008876904844984533,0.05387690484498453,32.760274991485424,1941.3496291250622,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,151.87528670106178,16.177913576042183,151.87528670106178,22.034805846782405,25.923300996214593,0.0,425.8483009962313,636.325047465633,2.892386579389241,14.331645213189933,7202.592239091503,162.22054592548432,11.319045616353025,20.192386579389243,-0.3269204473536919
30.0,22.0,40,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,980.0000000000001,0.48400000000000004,0.008876904844984533,0.05387690484498453,32.760274991485424,1941.3496291250622,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,151.87528670106178,16.177913576042183,151.87528670106178,18.362338205652005,21.602750830178827,0.0,408.42208199322033,610.2858696450419,2.7740266802047358,13.7451772442577,6165.660199242919,138.86622070366934,10.102905057967387,20.074026680204735,-0.33086577732650885
30.0,22.0,40,12,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,2.7286638381651627,0.3031848709072403,0.15159243545362014,0.23581045515007573,980.0000000000001,0.48400000000000004,0.008876904844984533,0.05387690484498453,32.760274991485424,1941.3496291250622,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,151.87528670106178,16.177913576042183,151.87528670106178,15.739147033416007,18.516643568724714,0.0,395.97478270535544,591.6864569160484,2.6894838950729474,13.326271552163254,5424.9944564939315,122.18455983094441,9.168698037757618,19.989483895072947,-0.3336838701642351
30.0,22.0,45,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.4,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,1240.3125,0.38241975308641984,0.011083615986909514,0.056083615986909516,43.160448830731696,2877.3632553821126,0.5026548245743669,7776.990298864379,8757.990298864379,6610.441754034722,32.404126245268245,12.163875415089416,27.54350730847801,200.09006462911444,23.97802712818427,200.09006462911444,27.54350730847801,32.404126245268245,0.0,556.217298908995,831.1292972203373,3.777860441910624,18.719128315773364,8757.990298864379,197.25203375820675,10.537458284956335,21.077860441910623,-0.29740465193631255
30.0,22.0,45,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.5,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,1240.3125,0.38241975308641984,0.011083615986909514,0.056083615986909516,43.160448830731696,2877.3632553821126,0.7853981633974483,6221.592239091503,7202.592239091503,5288.353403227778,25.923300996214593,10.003600332071532,22.034805846782405,200.09006462911444,23.97802712818427,200.09006462911444,22.034805846782405,25.923300996214593,0.0,530.0779704044787,792.0705304894509,3.6003205931338678,17.839426362375022,7202.592239091503,162.22054592548432,9.093372322084429,20.90032059313387,-0.3033226468955377
30.0,22.0,45,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.6,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,1240.3125,0.38241975308641984,0.011083615986909514,0.056083615986909516,43.160448830731696,2877.3632553821126,1.1309733552923256,5184.660199242919,6165.660199242919,4406.961169356481,21.602750830178827,8.563416943392943,18.362338205652005,200.09006462911444,23.97802712818427,200.09006462911444,18.362338205652005,21.602750830178827,0.0,512.6517514014678,766.03135266886,3.4819606939493637,17.252958393442793,6165.660199242919,138.86622070366934,8.048835309105435,20.781960693949365,-0.3072679768683545
30.0,22.0,45,6,0.5,1.6,0.5,0.045,0.7,1.225,4,0.7,0.65,3.0,0.85,15.0,15.0,0.75,0.9,220.0,0.87,0.3,44.4,7.0,7.0,30.0,0,0.35,6.8,True,30.0,294.3,0.6204671951425197,1.9294567035450985,0.42876815634335524,0.21438407817167762,0.3334863438226096,1240.3125,0.38241975308641984,0.011083615986909514,0.056083615986909516,43.160448830731696,2877.3632553821126,1.5393804002589984,4443.9944564939315,5424.9944564939315,3777.3952880198417,18.516643568724714,7.534714522908239,15.739147033416007,200.09006462911444,23.97802712818427,200.09006462911444,15.739147033416007,18.516643568724714,0.0,500.2044521136028,747.4319399398663,3.397417908817574,16.83405270134834,5424.9944564939315,122.18455983094441,7.258178526502885,20.697417908817574,-0.3100860697060809
